brand,model,variant,price_pln,engine_type,fuel_type,fuel_city_l,fuel_hwy_l,battery_kwh,consumption_city_kwh,consumption_hwy_kwh,elec_pct,segment
Toyota,Yaris,1.5 Hybrid Active,95000,HEV,0,3.8,4.8,0,0,0,0,B – Małe
Toyota,Yaris Cross,1.5 Hybrid Comfort,120000,HEV,0,4.8,5.5,0,0,0,0,B – Małe
Toyota,Corolla,1.8 Hybrid Comfort,135000,HEV,0,4.5,5.5,0,0,0,0,C – Kompakt
Toyota,Corolla,2.0 Hybrid GR Sport,155000,HEV,0,4.3,5.0,0,0,0,0,C – Kompakt
Toyota,C-HR,2.0 Hybrid Active,150000,HEV,0,4.8,5.5,0,0,0,0,C – Kompakt
Toyota,Camry,2.5 Hybrid Executive,175000,HEV,0,5.0,5.5,0,0,0,0,D – Średni
Toyota,RAV4,2.5 Hybrid AWD,185000,HEV,0,5.5,6.5,0,0,0,0,D – Średni
Toyota,RAV4,2.5 PHEV AWD,235000,PHEV,0,1.0,6.0,18.1,14.0,17.0,0.65,D – Średni
Toyota,bZ4X,FWD,189000,BEV,0,0,0,71.4,16.0,19.5,0,D – Średni
Toyota,Proace City,1.5 D-4D Active,115000,ICE,1,5.5,5.0,0,0,0,0,Van – Mały
Toyota,Proace City Verso,1.5 D-4D Comfort,125000,ICE,1,5.8,5.2,0,0,0,0,Van – Mały
Toyota,Proace City Electric,Active,165000,BEV,0,0,0,50,16.5,19.0,0,Van – Mały
Toyota,Proace,2.0 D-4D Active L1,165000,ICE,1,6.5,5.8,0,0,0,0,Van – Duży
Toyota,Proace Electric,Active L1,210000,BEV,0,0,0,75,19.0,22.0,0,Van – Duży
VW,Polo,1.0 TSI Life,95000,ICE,0,6.5,5.0,0,0,0,0,B – Małe
VW,Golf,2.0 TDI Life,145000,ICE,1,6.5,5.0,0,0,0,0,C – Kompakt
VW,Golf,1.5 eTSI Life,135000,ICE,0,6.8,5.2,0,0,0,0,C – Kompakt
VW,Tiguan,1.5 TSI Life,175000,ICE,0,7.8,6.2,0,0,0,0,D – Średni
VW,Tiguan,2.0 TDI 4MOTION,195000,ICE,1,7.0,5.8,0,0,0,0,D – Średni
